Event,SwimmerName,Time,Cut
200 Fly,Youssef Ramadan,102.22,USNTL
200 Fly,Joseph Gurski,102.24,NCAA B
200 Fly,Boyd Poelke,102.32,USNTL
200 Fly,Raekwon Noel,102.35,USNTL
200 Fly,Louis Dramm,102.43,USNTL
200 IM,Julian Smith,99.38,NCAA A
200 IM,Owen McDonald,99.89,NCAA A
200 IM,Gal COHEN GROUMI,100.34,NCAA A
200 IM,Hubert KOS,100.51,NCAA A
200 IM,Luke Barr,100.62,NCAA A
200 IM,Will Modglin,100.64,NCAA A
200 IM,Colin Geer,100.65,NCAA A
200 IM,Carles COLL MARTI,100.95,USNTL
200 IM,Tristan Jankovics,101.09,USNTL
200 IM,Daniel Diehl,101.39,USNTL
200 IM,Rex Maurer,101.41,USNTL
200 IM,Danny Schmidt,101.42,NCAA B
200 IM,Baylor Nelson,101.43,USNTL
200 IM,Mitchell Schott,101.44,NCAA B
200 IM,Luca Urlando,101.46,NCAA B
200 IM,Camden Taylor,101.58,USNTL
200 IM,Ron Polonsky,101.66,NCAA B
200 IM,Destin Lasco,101.68,NCAA B
200 IM,Berke Saka,101.70,NCAA B
200 IM,Chris Morris,101.78,NCAA B
200 IM,Louis Dramm,101.84,USNTL
200 IM,Ben Sampson,101.88,USNTL
200 IM,Gabriel Jett,101.89,NCAA B
200 IM,Nate Germonprez,102.24,USNTL
200 IM,Rick Mihm,102.24,NCAA B
200 IM,Miroslav Knedla,102.35,USNTL
200 IM,Sebastien Sergile,102.40,USNTL
200 IM,Tyler Lu,102.49,USNTL
200 IM,Luke Maurer,102.57,NCAA B
200 IM,Gibson Holmes,102.65,NCAA B
200 IM,Spencer Nicholas,102.67,USNTL
200 IM,Marton Nagy,102.69,NCAA B
200 IM,Eitan BEN SHITRIT,102.71,USNTL
200 IM,Ryan Merani,102.80,USNTL
200 IM,Cale Martter,102.93,NCAA B
200 IM,Mewen Tomac,102.96,NCAA B
200 IM,Will Scholtz,102.97,USNTL
200 IM,Jassen Yep,102.98,USNTL
200 IM,Jake Magahey,102.99,NCAA B
200 IM,Brian Benzing,103.01,USNTL
200 IM,Kyle Brill,103.02,NCAA B
200 IM,Toby Barnett,103.13,USNTL
200 IM,Drew Hitchcock,103.20,NCAA B
200 IM,Michael Hochwalt,103.29,NCAA B
200 IM,Durgan McKean,103.33,NCAA B
200 IM,Max MATTEAZZI,103.34,USNTL
200 IM,Colin Whelehan,103.37,USNTL
200 IM,Mason Laur,103.37,USNTL
200 IM,Mason Herbet,103.41,NCAA B
200 IM,Tommy Hagar,103.46,NCAA B
400 IM,Rex Maurer,214.19,NCAA A
400 IM,Tristan Jankovics,215.51,NCAA A
400 IM,Baylor Nelson,217.47,NCAA A
400 IM,Jake Magahey,217.89,NCAA A
400 IM,Gio Linscheer,218.46,USNTL
400 IM,Cooper Lucas,219.02,USNTL
400 IM,David Johnston,219.07,USNTL
400 IM,Tommy Bried,219.28,USNTL
400 IM,Mason Laur,219.32,USNTL
400 IM,Lorne Wigginton,219.76,USNTL
400 IM,Eric Brown,219.89,USNTL
400 IM,Drew Hitchcock,219.98,NCAA B
400 IM,Kyle Ponsler,220.05,USNTL
400 IM,Danny Schmidt,220.29,NCAA B
400 IM,Jack Hoagland,220.40,NCAA B
400 IM,Krzysztof Chmielewski,220.57,NCAA B
400 IM,Dominik Torok,220.59,NCAA B
400 IM,Ben Delmar,220.61,USNTL
400 IM,Mitchell Schott,220.69,NCAA B
400 IM,Max MATTEAZZI,220.89,USNTL
400 IM,Tyler Kopp,220.97,NCAA B
400 IM,Gregg Enoch,221.10,USNTL
400 IM,Ryan Merani,221.12,USNTL
400 IM,Ben Sampson,221.16,USNTL
400 IM,Humberto Najera,221.25,NCAA B
400 IM,Toby Barnett,221.27,USNTL
400 IM,Michael Hochwalt,221.40,NCAA B
400 IM,Daniel Matheson,221.45,NCAA B
400 IM,Gibson Holmes,221.59,NCAA B
400 IM,Munzy Kabbara,221.61,USNTL
400 IM,Owen McDonald,221.69,USNTL
400 IM,Lucas Henveaux,222.05,NCAA B
400 IM,Landon D'Ariano,222.20,USNTL
400 IM,Joshua Zuchowski,222.22,NCAA B
